Respondent ID,Quiz Summary,,,,Quiz Results,,,,
,Score,Points,Rank,Percentile,Correct,Incorrect,Partially Correct,Skipped,Total_Questions
12760658026,47%,8/17,93/59,26%,5,9,0,0,14
12760651108,82%,14/17,20/59,85%,11,3,0,0,14
12667664635,65%,11/17,67/59,47%,8,5,1,0,14
12667642522,76%,13/17,37/59,71%,10,4,0,0,14
12667640229,71%,12/17,56/59,56%,9,5,0,0,14
12632284605,65%,11/17,67/59,47%,8,6,0,0,14
12630739928,35%,6/17,105/59,16%,6,8,0,0,14
12630625086,71%,12/17,56/59,56%,10,4,0,0,14
12630621001,88%,15/17,11/59,92%,12,2,0,0,14
12630595583,65%,11/17,67/59,47%,8,5,1,0,14
12630511164,53%,9/17,83/59,34%,6,5,3,0,14
12630500965,53%,9/17,83/59,34%,7,7,0,0,14
12630484090,59%,10/17,77/59,39%,7,7,0,0,14
12630482825,76%,13/17,37/59,71%,10,4,0,0,14
12630457589,76%,13/17,37/59,71%,10,3,1,0,14
12630454048,88%,15/17,11/59,92%,12,2,0,0,14
12630270578,94%,16/17,1/59,100%,13,1,0,0,14
12630250036,0%,0/17,59/59,0%,0,0,0,14,14
12630150215,24%,4/17,118/59,6%,4,10,0,0,14
12630108190,47%,8/17,93/59,26%,5,7,2,0,14
12630106886,71%,12/17,56/59,56%,9,4,1,0,14
12630106614,18%,3/17,122/59,2%,3,11,0,0,14
12630078367,82%,14/17,20/59,85%,11,3,0,0,14
12630063140,65%,11/17,67/59,47%,8,5,1,0,14
12630061901,53%,9/17,83/59,34%,6,5,3,0,14
12630043955,53%,9/17,83/59,34%,6,5,3,0,14
12630042181,76%,13/17,37/59,71%,10,4,0,0,14
12630041413,94%,16/17,1/59,100%,13,1,0,0,14
12630039372,88%,15/17,11/59,92%,12,2,0,0,14
12630038341,76%,13/17,37/59,71%,10,4,0,0,14
12630036066,82%,14/17,20/59,85%,11,3,0,0,14
12591074802,0%,0/17,59/59,0%,0,0,0,14,14
12589955677,59%,10/17,77/59,39%,7,7,0,0,14
12589910682,76%,13/17,37/59,71%,10,4,0,0,14
12589879253,76%,13/17,37/59,71%,10,4,0,0,14
12589871439,82%,14/17,20/59,85%,11,3,0,0,14
12572424355,35%,6/17,105/59,16%,6,8,0,0,14
12572404672,35%,6/17,105/59,16%,6,8,0,0,14
12572391957,35%,6/17,105/59,16%,6,8,0,0,14
12572375103,29%,5/17,113/59,10%,5,9,0,0,14
12555857586,76%,13/17,37/59,71%,10,4,0,0,14
12523436507,47%,8/17,93/59,26%,6,6,2,0,14
12523416160,82%,14/17,20/59,85%,11,3,0,0,14
12523397483,76%,13/17,37/59,71%,10,4,0,0,14
12523372971,65%,11/17,67/59,47%,8,5,1,0,14
12523305398,65%,11/17,67/59,47%,8,5,1,0,14
12523278060,65%,11/17,67/59,47%,9,5,0,0,14
12523253543,88%,15/17,11/59,92%,12,2,0,0,14
12522799487,71%,12/17,56/59,56%,9,5,0,0,14
12413854842,59%,10/17,77/59,39%,7,4,3,0,14
12413849563,18%,3/17,122/59,2%,3,11,0,0,14
12413849374,59%,10/17,77/59,39%,7,4,3,0,14
12413843120,35%,6/17,105/59,16%,3,8,3,0,14
12413842787,35%,6/17,105/59,16%,5,8,1,0,14
12413835943,24%,4/17,118/59,6%,1,10,3,0,14
12413832979,29%,5/17,113/59,10%,5,9,0,0,14
12413832478,24%,4/17,118/59,6%,4,10,0,0,14
12413832292,41%,7/17,101/59,19%,4,7,3,0,14
12413830265,88%,15/17,11/59,92%,12,2,0,0,14
